file	species	date	time	time_point	comments
sample_00001	Ble	14.02.22		training	
sample_00002	Ble	14.02.22		training	
sample_00003	Ble	14.02.22		training	
sample_00004	Ble	14.02.22		training	
sample_00005	Ble	14.02.22		training	
sample_00006	Ble	14.02.22		training	
sample_00007	Ble	14.02.22		training	
sample_00008	Ble	14.02.22		training	
sample_00009	Ble	14.02.22		training	
sample_00010	Ble	14.02.22		training	
sample_00011	Ble	14.02.22		training	
sample_00012	Ble	14.02.22		training	
sample_00013	Ble	14.02.22		training	
sample_00014	Ble	14.02.22		training	
sample_00015	Ble	14.02.22		training	
sample_00016	Ble	14.02.22		training	
sample_00017	Ble	14.02.22		training	
sample_00018	Ble	14.02.22		training	
sample_00019	Ble	14.02.22		training	
sample_00020	Ble	14.02.22		training	
sample_00021	Ble	14.02.22		training	
sample_00022	Cep	14.02.22		training	
sample_00023	Cep	14.02.22		training	
sample_00024	Cep	14.02.22		training	
sample_00025	Cep	14.02.22		training	
sample_00026	Cep	14.02.22		training	
sample_00027	Col	14.02.22		training	
sample_00028	Col	14.02.22		training	
sample_00029	Col	14.02.22		training	
sample_00030	Col	14.02.22		training	
sample_00031	Eug	14.02.22		training	
sample_00032	Eug	14.02.22		training	
sample_00033	Eug	14.02.22		training	
sample_00034	Eup	14.02.22		training	
sample_00035	Eup	14.02.22		training	
sample_00036	Eup	14.02.22		training	
sample_00037	Eup	14.02.22		training	
sample_00038	Eup	14.02.22		training	
sample_00039	Lox	14.02.22		training	
sample_00040	Lox	14.02.22		training	
sample_00041	Lox	14.02.22		training	
sample_00042	Lox	14.02.22		training	
sample_00043	Lox	14.02.22		training	
sample_00044	Lox	14.02.22		training	
sample_00045	Pau	14.02.22		training	
sample_00046	Pau	14.02.22		training	
sample_00047	Pau	14.02.22		training	
sample_00048	Pau	14.02.22		training	
sample_00049	Pau	14.02.22		training	
sample_00050	Pau	14.02.22		training	
sample_00051	Pau	14.02.22		training	
sample_00052	Pau	14.02.22		training	
sample_00053	Pca	14.02.22		training	
sample_00054	Pca	14.02.22		training	
sample_00055	Pca	14.02.22		training	
sample_00056	Pca	14.02.22		training	
sample_00057	Pca	14.02.22		training	
sample_00058	Pca	14.02.22		training	
sample_00059	Pca	14.02.22		training	
sample_00060	Spi	14.02.22		training	
sample_00061	Spi	14.02.22		training	
sample_00062	Spi	14.02.22		training	
sample_00063	Spi	14.02.22		training	
sample_00064	Spi	14.02.22		training	
sample_00065	Spi	14.02.22		training	
sample_00066	Spi	14.02.22		training	
sample_00067	Spi	14.02.22		training	
sample_00068	Spi	14.02.22		training	
sample_00069	Spi	14.02.22		training	
sample_00070	Spi	14.02.22		training	"delete, you can see borders"
sample_00071	Spi	14.02.22		training	
sample_00072	Spi	14.02.22		training	
sample_00073	Spi	14.02.22		training	
sample_00074	Spi	14.02.22		training	
sample_00075	Spi	14.02.22		training	
sample_00076	Spi te	14.02.22		training	
sample_00077	Spi te	14.02.22		training	
sample_00078	Spi te	14.02.22		training	
sample_00079	Spi te	14.02.22		training	
sample_00080	Spi te	14.02.22		training	
sample_00081	Spi te	14.02.22		training	
sample_00082	Spi te	14.02.22		training	
sample_00083	Spi te	14.02.22		training	
sample_00084	Spi te	14.02.22		training	
sample_00085	Spi te	14.02.22		training	
sample_00086	Spi te	14.02.22		training	
sample_00087	Spi te	14.02.22		training	
sample_00088	Spi te	14.02.22		training	
sample_00089	Spi te	14.02.22		training	
sample_00090	Spi te	14.02.22		training	
sample_00091	Spi te	14.02.22		training	
sample_00092	Spi te	14.02.22		training	
sample_00093	Tet	14.02.22		training	
sample_00094	Tet	14.02.22		training	
sample_00095	Tet	14.02.22		training	
sample_00096	Tet	14.02.22		training	
sample_00097	Tet	14.02.22		training	
sample_00098	Tet	14.02.22		training	
sample_00099	Spi	14.02.22		training	
sample_00100	Spi	14.02.22		training	
sample_00101	Spi	14.02.22		training	
sample_00102	Spi	14.02.22		training	
sample_00103	Spi	14.02.22		training	
sample_00104	Spi	14.02.22		training	
sample_00105	Spi	14.02.22		training	
sample_00106	Spi	14.02.22		training	
sample_00107	Spi	14.02.22		training	
sample_00108	Spi	14.02.22		training	
sample_00109	Spi	14.02.22		training	
sample_00110	Spi	14.02.22		training	
sample_00111	Spi	14.02.22		training	
sample_00112	Spi	14.02.22		training	
sample_00113	Spi	14.02.22		training	
sample_00114	Spi	14.02.22		training	
sample_00115	Spi	14.02.22		training	
sample_00116	Spi	14.02.22		training	
sample_00117	Spi	14.02.22		training	
